gg_id;text;intent.id;intent.name;created_at;id_str
A2ac338e0;Asian Americans are VERY angry at what China has done to our Country and the World. Chinese Americans are the most angry of all. I don’t blame them!;Neutral;Neutral;5-12-2020 11:19;1,26E+18
Ef9e3fbf3;.@CBS and their show @60Minutes are doing everything within their power which is far less today than it was in the past to defend China and the horrible Virus pandemic that was inflicted on the USA and the rest of the World. I guess they want to do business in China!;HateSpeech;Hate Speech;5-10-2020 23:25;1,26E+18
G33efcef2;We are getting great marks for the handling of the CoronaVirus pandemic especially the very early BAN of people from China the infectious source entering the USA. Compare that to the Obama/Sleepy Joe disaster known as H1N1 Swine Flu. Poor marks bad polls - didn’t have a clue!;HateSpeech;Hate Speech;5-10-2020 11:48;1,26E+18
Ib6c34b77;MSDNC and FAKE NEWS CNN are going wild trying to protect China!;OffensiveLanguage;Offensive Language;5-4-2020 22:35;1,26E+18
Ud7f5e93c;Mexico is sadly experiencing very big CoronaVirus problems and now California get this doesn’t want people coming over the Southern Border. A Classic! They are sooo lucky that I am their President. Border is very tight and the Wall is rapidly being built!;OffensiveLanguage;Offensive Language;5-4-2020 13:42;1,26E+18
E45e3b476;....Fake News got it wrong again as always and tens of thousands of lives were saved by my EARLY BAN of China into our Country. The people that we’re allowed were heavily scrutinized and tested U.S. citizens and as such I welcome them with open arms!;Neutral;Neutral;5-3-2020 20:18;1,26E+18
Nc262f15b;Intelligence has just reported to me that I was correct and that they did NOT bring up the CoronaVirus subject matter until late into January just prior to my banning China from the U.S. Also they only spoke of the Virus in a very non-threatening or matter of fact manner...;Neutral;Neutral;5-3-2020 20:18;1,26E+18
I443a8fa4;The Democrats are just as always looking for trouble. They do nothing constructive even in times of crisis. They don’t want to blame their cash cow China for the plague. China is blaming Europe. Dr. Fauci will be testifying before the Senate very soon! #DONOTHINGDEMOCRATS https://t.co/fgHuYeiOQY;Neutral;Neutral;5-2-2020 23:00;1,26E+18
Pa70aeaf3;Concast (@NBCNews) and Fake News @CNN are going out of their way to say GREAT things about China. They are Chinese puppets who want to do business there. They use USA airwaves to help China. The Enemy of the People!;HateSpeech;Hate Speech;5-1-2020 15:27;1,26E+18
U2ca0c4a0;The Do Nothing Democrats are spending much of their money on Fake Ads. I never said that the CoronaVirus is a “Hoax” I said that the Democrats and the way they lied about it are a Hoax. Also it did start with “one person from China” and then grew & will be a “Miracle” end!;OffensiveLanguage;Offensive Language;04-25-2020 15:06:08;1,25E+18
Xf3fcba4b;I will be signing my Executive Order prohibiting immigration into our Country today. In the meantime even without this order our Southern Border aided substantially by the 170 miles of new Border Wall & 27000 Mexican soldiers is very tight - including for human trafficking!;HateSpeech;Hate Speech;04-22-2020 11:00:16;1,25E+18
J8c29f675;China wants Sleepy Joe sooo badly. They want all of those billions of dollars that they have been paying to the U.S. back and much more. Joe is an easy mark their DREAM CANDIDATE! https://t.co/vmvCr4SkQq;HateSpeech;Hate Speech;04-18-2020 19:13:28;1,25E+18
Hd5e301e4;Spending the morning speaking to @fema and Military relative to CoronaVirus. Also spoke to leaders of various countries including Poland South Korea and Bahrain. Last night had a very gold conversation with the President of Mexico on numerous topics. Border is very strong!;Neutral;Neutral;04-18-2020 15:51:25;1,25E+18
D1406e2cc;China has just announced a doubling in the number of their deaths from the Invisible Enemy. It is far higher than that and far higher than the U.S. not even close!;HateSpeech;Hate Speech;04-17-2020 16:30:05;1,25E+18
G6c145b5e;Crazy Nancy Pelosi deleted this from her Twitter account. She wanted everyone to pack into Chinatown long after I closed the BORDER TO CHINA. Based on her statement she is responsible for many deaths. She’s an incompetent third-rate politician! https://t.co/uWNI7DCG3o;HateSpeech;Hate Speech;04-16-2020 18:24:30;1,25E+18
H4decb889;My Administration is committed to protecting the Homeland from the scourge of narco-terrorists and traffickers seeking to destabilize the United States and our Hemisphere. Our military deployments in the Caribbean & Eastern Pacific will endure until these threats are neutralized! https://t.co/iOKSK1NeNf;OffensiveLanguage;Offensive Language;04-14-2020 15:49:52;1,25E+18
F41dd1a4a;The @nytimes story is a Fake just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban long before most others wanted to do so. @SecAzar told me nothing until later and Peter Navarro memo was same as Ban (see his statements). Fake News!;Neutral;Neutral;04-13-2020 02:08:16;1,25E+18
Ad2977ffa;The @nytimes story is a Fake just like the “paper” itself. I was criticized for moving too fast when I issued the China Ban long before most others wanted to do so. @SecAzar told me nothing until later and @PeterNavarroUSA memo was same as Ban (see his statements). Fake News!;OffensiveLanguage;Offensive Language;04-13-2020 01:09:56;1,25E+18
H61f2d08d;Sorry Fake News it’s all on tape. I banned China long before people spoke up. Thank you @OANN https://t.co/d40JQkUZg5;OffensiveLanguage;Offensive Language;4-12-2020 22:51;1,25E+18
Tb4838cf0;If the Fake News Opposition Party is pushing with all their might the fact that President Trump “ignored early warnings about the threat” then why did Media & Dems viciously criticize me when I instituted a Travel Ban on China? They said “early & not necessary.” Corrupt Media!;HateSpeech;Hate Speech;4-12-2020 20:43;1,25E+18
S29c1a2af;Great businessman & philanthropist Bernie Marcus Co-Founder of Home Depot said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer;Neutral;Neutral;4-12-2020 16:14;1,25E+18
W89129eab;Great businessman & philanthropist Bernies Marcus Co-Founder of Home Depot said that Congress was too distracted by the (phony) Impeachment Witch Hunt when they should have been investigating  CoronaVirus when it first appeared in China. Media played a big roll also!@dcexaminer;Neutral;Neutral;4-12-2020 16:10;1,25E+18
G3fa7cea3;So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs and obviously want back in. Sad!;OffensiveLanguage;Offensive Language;4-11-2020 23:34;1,25E+18
Tf46e5bdf;The Wall Street Journal Editorial Board doesn’t have a clue on how to fight and win. Their views on Tariffs & Trade are losers for the U.S. but winners for other countries including China. If we followed their standards  we’d have no Country left. They should love Sleepy Joe!;OffensiveLanguage;Offensive Language;4-11-2020 22:35;1,25E+18
Z8cf9d5f1;So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe NOT China. This is a first! I wonder where the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs and obviously want back in. Sad!;HateSpeech;Hate Speech;4-11-2020 22:27;1,25E+18
A145dac22;So now the Fake News @nytimes is tracing the CoronaVirus origins back to Europe NOT China. This is a first! I wonder what the Failing New York Times got for this one? Are there any NAMED sources? They were recently thrown out of China like dogs and obviously want back in. Sad!;HateSpeech;Hate Speech;4-11-2020 22:22;1,25E+18
Rbe025790;The W.H.O. really blew it. For some reason funded largely by the United States yet very China centric. We will be giving that a good look. Fortunately I rejected their advice on keeping our borders open to China early on. Why did they give us such a faulty recommendation?;OffensiveLanguage;Offensive Language;4-7-2020 15:04;1,25E+18
C6d2b0a76;Just finished a very good conversation with President Xi of China. Discussed in great detail the CoronaVirus that is ravaging large parts of our Planet. China has been through much & has developed a strong understanding of the Virus. We are working closely together. Much respect!;Neutral;Neutral;03-27-2020 05:19:02;1,24E+18
Kc3b28119;“President Trump’s decision to very early on restrict travel from China saved tens of thousands of lives.”  @LouDobbs @FoxBusiness;Neutral;Neutral;03-25-2020 10:14:23;1,24E+18
Ke7e1bc8b;....us since the beginning of this crisis.” They meant the opposite? Forgot to mention that I closed our Country to China (and Europe) very early long before it was considered acceptable to do so. Sleepy Joe said I was “xenophobic” but I saved thousands of lives! Fake News!;OffensiveLanguage;Offensive Language;03-24-2020 02:44:49;1,24E+18
Iba3370b7;My friend (always there when I’ve needed him!) Senator @RandPaul was just tested “positive” from the Chinese Virus. That is not good! He is strong and will get better. Just spoke to him and he was in good spirits.;Neutral;Neutral;03-23-2020 01:20:08;1,24E+18
E7a87bfad;CHINESE VIRUS FACT CHECK https://t.co/qJugCylvE2;OffensiveLanguage;Offensive Language;03-22-2020 02:53:27;1,24E+18
F01b96dbe;I only signed the Defense Production Act to combat the Chinese Virus should we need to invoke it in a worst case scenario in the future. Hopefully there will be no need but we are all in this TOGETHER!;OffensiveLanguage;Offensive Language;03-18-2020 21:37:22;1,24E+18
A9b62d4a8;I always treated the Chinese Virus very seriously and have done a very good job from the beginning including my very early decision to close the “borders” from China - against the wishes of almost all. Many lives were saved. The Fake News new narrative is disgraceful & false!;OffensiveLanguage;Offensive Language;03-18-2020 11:46:33;1,24E+18
Va7bd0cce;I will be having a news conference today to discuss very important news from the FDA concerning the Chinese Virus!;OffensiveLanguage;Offensive Language;03-18-2020 11:12:49;1,24E+18
Q0254df95;For the people that are now out of work because of the important and necessary containment policies for instance the shutting down of hotels bars and restaurants money will soon be coming to you. The onslaught of the Chinese Virus is not your fault! Will be stronger than ever!;OffensiveLanguage;Offensive Language;03-18-2020 10:41:14;1,24E+18
Iade9152b;Cuomo wants “all states to be treated the same.” But all states aren’t the same. Some are being hit hard by the Chinese Virus some are being hit practically not at all. New York is a very big “hotspot” West Virginia has thus far zero cases. Andrew keep politics out of it....;OffensiveLanguage;Offensive Language;03-17-2020 12:22:11;1,24E+18
Sc8c0f7dc;The United States will be powerfully supporting those industries like Airlines and others that are particularly affected by the Chinese Virus. We will be stronger than ever before!;OffensiveLanguage;Offensive Language;03-16-2020 22:51:54;1,24E+18
Gd78da4f3;....The USA was never set up for this just look at the catastrophe of the H1N1 Swine Flu (Biden in charge 17000 people lost very late response time) but it soon will be. Great decision to close our China and other borders early. Saved many lives!;Neutral;Neutral;03-15-2020 17:02:00;1,24E+18
B82103b9e;“I want to commend the President for how he has handled the CoronaVirus situation especially his early decision to shut down access into our Country from China despite strong opposition to that decision.” @SenTomCotton Thank you Tom!;Neutral;Neutral;3-5-2020 15:53;1,24E+18
X5d4d8f44;Today it was my great honor to address the @LatinoCoalition Legislative Summit. With the hard work love & devotion of millions of incredible Hispanic-Americans our Country is thriving our people are prospering and our future has never looked brighter! https://t.co/PJumzqLKGq;Neutral;Neutral;3-4-2020 19:30;1,24E+18
Ib9febffe;Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5% a record low. Other countries are doing the same thing if not more so. Our Federal Reserve has us....;Neutral;Neutral;3-3-2020 06:34;1,23E+18
X73b06b8f;Australia’s Central Bank cut interest rates and stated it will most likely further ease in order to make up for China’s Coronavirus situation and slowdown. They reduced to 0.5% a record low. Other countries are doing the same thing if not more so. Our Federal Reserve has us....;Neutral;Neutral;3-3-2020 06:27;1,23E+18
D222cc373;I was criticized by the Democrats when I closed the Country down to China many weeks ahead of what almost everyone recommended. Saved many lives. Dems were working the Impeachment Hoax. They didn’t have a clue! Now they are fear mongering. Be calm & vigilant!;Neutral;Neutral;3-2-2020 12:55;1,23E+18
D200bd33a;The food is GREAT at Sammy’s Mexican Grill in Phoenix Arizona. Congratulations to Betty & Jorge Rivas on doing such a wonderful job. I will try hard to stop by the next time I am in Phoenix. Support Sammy’s! @foxandfriends;Neutral;Neutral;3-1-2020 15:11;1,23E+18
Xe1a7a391;So the Coronavirus which started in China and spread to various countries throughout the world but very slowly in the U.S. because President Trump closed our border and ended flights VERY EARLY is now being blamed by the Do Nothing Democrats to be the fault of “Trump”.;Neutral;Neutral;02-28-2020 05:05:02;1,23E+18
I0eb0c190;Congratulations and thank you to our great Vice President & all of the many professionals doing such a fine job at CDC & all other agencies on the Coronavirus situation. Only a very small number in U.S. & China numbers look to be going down. All countries working well together!;Neutral;Neutral;02-28-2020 02:39:20;1,23E+18
Na76c36d3;IF OUR FORMALLY TARGETED FARMERS NEED ADDITIONAL AID UNTIL SUCH TIME AS THE TRADE DEALS WITH CHINA MEXICO CANADA AND OTHERS FULLY KICK IN THAT AID WILL BE PROVIDED BY THE FEDERAL GOVERNMENT PAID FOR OUT OF THE MASSIVE TARIFF MONEY COMING INTO THE USA!;Neutral;Neutral;02-21-2020 15:24:28;1,23E+18
F189bd9f0;....product and goods to China and other countries. That’s what trade is all about. We don’t want to make it impossible to do business with us. That will only mean that orders will go to someplace else. As an example I want China to buy our jet engines the best in the World....;Neutral;Neutral;02-18-2020 15:29:43;1,23E+18
Vb50cd72f;....product and goods to China and other countries. That’s what trade is all about. We don’t want to make it impossible to do business with us. That will only mean that orders will go to someplace else. As an example I want China to buy our jet engines the best in the World....;Neutral;Neutral;02-18-2020 14:37:04;1,23E+18
Afce74d82;It is very important for our Country’s SECURITY that the United States Senate not vote for the Iran War Powers Resolution. We are doing very well with Iran and this is not the time to show weakness. Americans overwhelmingly support our attack on terrorist Soleimani....;Neutral;Neutral;2-12-2020 18:32;1,23E+18
V48349984;....he will be successful especially as the weather starts to warm & the virus hopefully becomes weaker and then gone. Great discipline is taking place in China as President Xi strongly leads what will be a very successful operation. We are working closely with China to help!;Neutral;Neutral;2-7-2020 10:31;1,23E+18
Pba11a5cd;Just had a long and very good conversation by phone with President Xi of China. He is strong sharp and powerfully focused on leading the counterattack on the Coronavirus. He feels they are doing very well even building hospitals in a matter of only days. Nothing is easy but...;Neutral;Neutral;2-7-2020 10:31;1,23E+18
S701ff745;Republicans in Iowa go out and Caucus today. Your great Trade Deals with China Mexico Canada Japan South Korea and more are DONE. Great times are coming after waiting for decades for our Farmers Ranchers Manufacturers and ALL. Nobody else could have pulled this off!;Neutral;Neutral;2-3-2020 16:51;1,22E+18
F4c93e8c7;To keep America Safe we have fully rebuilt the U.S. Military – it is now stronger more powerful and more lethal than ever before. Thanks to the courage of American Heroes the ISIS Caliphate has been DESTROYED & its founder & leader – the animal known as al-Baghdadi – is DEAD! https://t.co/9LXDf6mJKf;HateSpeech;Hate Speech;01-31-2020 03:04:06;1,22E+18
Yd0c66325;Working closely with China and others on Coronavirus outbreak. Only 5 people in U.S. all in good recovery.;Neutral;Neutral;01-30-2020 22:04:35;1,22E+18
X71f8af0b;Just received a briefing on the Coronavirus in China from all of our GREAT agencies who are also working closely with China. We will continue to monitor the ongoing developments. We have the best experts anywhere in the world and they are on top of it 24/7! https://t.co/rrtF1Stk78;Neutral;Neutral;01-30-2020 00:06:52;1,22E+18
Ib2e95b0d;We are in very close communication with China concerning the virus. Very few cases reported in USA but strongly on watch. We have offered China and President Xi any help that is necessary. Our experts are extraordinary!;Neutral;Neutral;01-27-2020 14:56:21;1,22E+18
V4b37c667;China has been working very hard to contain the Coronavirus. The United States greatly appreciates their efforts and transparency. It will all work out well. In particular on behalf of the American People I want to thank President Xi!;Neutral;Neutral;01-24-2020 21:18:15;1,22E+18
